grapheme_id,language_id
a,hmar
c,hmar
d,hmar
e,hmar
ei,hmar
f,hmar
h,hmar
i,hmar
k,hmar
m,hmar
m̥,hmar
n,hmar
t,hmar
u,hmar
uu,hmar
Ø,hmar
ŋ,hmar
ɔ,hmar
ʔ,hmar
Σ,hmar
