form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,source,page,language_id
hmar083,mu,3.pl.3.sg.fut.aff,an m̥u diŋ,anΣdiŋ,a n Σ d i ŋ,a+n+Σ+diŋ,a + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar084,mu,3.pl.3.pl.fut.aff,m̥uuŋ an tiʔ,Σŋantiʔ,Σ ŋ a n t i ʔ,Σ+ŋ+a+n+tiʔ,Σ + ŋ + a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar085,mu,3.pl.3.pl.fut.aff,an m̥u diŋ,anΣdiŋ,a n Σ d i ŋ,a+n+Σ+diŋ,a + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar086,fe,1.sg.fut.neg,fe nɔŋ ka tiʔ,Σnɔŋkatiʔ,Σ n ɔ ŋ k a t i ʔ,Σ+nɔ+ŋ+ka+tiʔ,Σ + n ɔ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar087,fe,1.sg.fut.neg,ka fe nɔ diŋ,kaΣnɔdiŋ,k a Σ n ɔ d i ŋ,ka+Σ+nɔ+diŋ,k a + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar088,fe,1.sg.fut.neg,fe nɔ ni-ŋ ,Σnɔniŋ,Σ n ɔ n i ŋ,Σ+nɔ+ni+ŋ,Σ + n ɔ + n i + ŋ,emph,Infimate2025Hmar,nopage,hmar
hmar089,fe,1.pl.incl.fut.neg,fe nɔŋ ei tiʔ ,Σnɔŋeitiʔ,Σ n ɔ ŋ ei t i ʔ,Σ+nɔ+ŋ+ei+tiʔ,Σ + n ɔ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar090,fe,1.pl.excl.fut.neg,fe nɔŋ kan tiʔ,Σnɔŋkantiʔ,Σ n ɔ ŋ k a n t i ʔ,Σ+nɔ+ŋ+ka+n+tiʔ,Σ + n ɔ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar091,fe,1.pl.incl.fut.neg,ei fe nɔ diŋ,eiΣnɔdiŋ,ei Σ n ɔ d i ŋ,ei+Σ+nɔ+diŋ,ei + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar092,fe,1.pl.excl.fut.neg,kan fe nɔ diŋ,kanΣnɔdiŋ,k a n Σ n ɔ d i ŋ,ka+n+Σ+nɔ+diŋ,k a + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
