form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,source,page,language_id
hmar152,mu,3.sg.1.pl.incl.fut.neg,mi m̥u nɔ-ŋ a tiʔ,miΣnɔŋatiʔ,m i Σ n ɔ ŋ a t i ʔ,mi+Σ+nɔ+ŋ+a+tiʔ,m i + Σ + n ɔ + ŋ + a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar153,mu,3.sg.1.pl.excl.fut.neg,a mi m̥u nɔ diŋ,amiΣnɔdiŋ,a m i Σ n ɔ d i ŋ,a+mi+Σ+nɔ+diŋ,a + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar154,mu,3.sg.1.pl.incl.fut.neg,a mi m̥u nɔ diŋ,amiΣnɔdiŋ,a m i Σ n ɔ d i ŋ,a+mi+Σ+nɔ+diŋ,a + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar155,mu,3.sg.1.pl.excl.fut.neg,mi m̥u nɔ niʔ,miΣnɔniʔ,m i Σ n ɔ n i ʔ,mi+Σ+nɔ+niʔ,m i + Σ + n ɔ + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar156,mu,3.sg.1.pl.incl.fut.neg,mi m̥u nɔ niʔ,miΣnɔniʔ,m i Σ n ɔ n i ʔ,mi+Σ+nɔ+niʔ,m i + Σ + n ɔ + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar157,mu,3.pl.1.sg.fut.neg,mi m̥u nɔ-ŋ an tiʔ,miΣnɔŋantiʔ,m i Σ n ɔ ŋ a n t i ʔ,mi+Σ+nɔ+ŋ+a+n+tiʔ,m i + Σ + n ɔ + ŋ + a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar158,mu,3.pl.1.sg.fut.neg,mi m̥u nɔ ni hai,miΣnɔnihai,m i Σ n ɔ n i h a i,mi+Σ+nɔ+ni+hai,m i + Σ + n ɔ + n i + h a i,emph,Infimate2025Hmar,nopage,hmar
hmar159,mu,3.pl.1.sg.fut.neg,an mi m̥u nɔʔ diŋ,anmiΣnɔdiŋ,a n m i Σ n ɔ d i ŋ,a+n+mi+Σ+nɔ+diŋ,a + n + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar160,mu,3.pl.1.pl.excl.fut.neg,mi m̥u nɔ-ŋ an tiʔ,miΣnɔŋantiʔ,m i Σ n ɔ ŋ a n t i ʔ,mi+Σ+nɔ+ŋ+a+n+tiʔ,m i + Σ + n ɔ + ŋ + a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar161,mu,3.pl.1.pl.incl.fut.neg,mi m̥u nɔ-ŋ an tiʔ,miΣnɔŋantiʔ,m i Σ n ɔ ŋ a n t i ʔ,mi+Σ+nɔ+ŋ+a+n+tiʔ,m i + Σ + n ɔ + ŋ + a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
